,Name,Images,Breed
4585,Standard_Poodle,n02113799_6704.jpg,26
915,Irish_Setter,n02100877_7636.jpg,5
451,Norwich_Terrier,n02094258_1156.jpg,2
2646,Basenji,n02110806_749.jpg,14
4115,Lhasa,n02098413_2169.jpg,23
2791,African_hunting_dog,n02116738_9232.jpg,15
3003,Komondor,n02105505_2548.jpg,16
3484,Japanese_Spaniel,n02085782_2584.jpg,19
2746,African_hunting_dog,n02116738_4991.jpg,15
4294,Walker_Hound,n02089867_348.jpg,24
4052,Lhasa,n02098413_17364.jpg,23
811,Boston_Bull,n02096585_2696.jpg,4
3559,Standard_Schnauzer,n02097209_49.jpg,20
4319,Walker_Hound,n02089867_1412.jpg,24
1406,Schipperke,n02104365_7822.jpg,8
665,Whippet,n02091134_12142.jpg,3
3508,Japanese_Spaniel,n02085782_440.jpg,19
391,Norwich_Terrier,n02094258_726.jpg,2
3348,Basset,n02088238_9351.jpg,18
37,Australian_Terrier,n02096294_3642.jpg,0
1477,Schipperke,n02104365_9369.jpg,8
1214,Kelpie,n02105412_3031.jpg,7
243,Toy_Poodle,n02113624_367.jpg,1
2289,Irish_Wolfhound,n02090721_2270.jpg,12
2122,Irish_Wolfhound,n02090721_2731.jpg,12
1183,Rottweiler,n02106550_11693.jpg,6
884,Boston_Bull,n02096585_2008.jpg,4
4339,Walker_Hound,n02089867_426.jpg,24
516,Norwich_Terrier,n02094258_1469.jpg,2
3882,miniature_pinscher,n02107312_6246.jpg,22
1620,Leonberg,n02111129_4435.jpg,9
1107,Rottweiler,n02106550_3931.jpg,6
1124,Rottweiler,n02106550_11762.jpg,6
933,Irish_Setter,n02100877_2199.jpg,5
4991,Chihuahua,n02085620_2053.jpg,28
3617,Standard_Schnauzer,n02097209_632.jpg,20
4492,Kerry_Blue_Terrier,n02093859_3310.jpg,25
3943,miniature_pinscher,n02107312_744.jpg,22
4889,Saint_Bernard,n02109525_11285.jpg,27
3023,Komondor,n02105505_441.jpg,16
1071,Rottweiler,n02106550_10552.jpg,6
2666,Basenji,n02110806_1359.jpg,14
3816,Dhole,n02115913_3529.jpg,21
1731,Pomeranian,n02112018_6129.jpg,10
2165,Irish_Wolfhound,n02090721_1931.jpg,12
2228,Irish_Wolfhound,n02090721_3109.jpg,12
4147,Lhasa,n02098413_5806.jpg,23
3600,Standard_Schnauzer,n02097209_2365.jpg,20
4531,Kerry_Blue_Terrier,n02093859_855.jpg,25
4331,Walker_Hound,n02089867_1438.jpg,24
3207,Basset,n02088238_11318.jpg,18
2622,Basenji,n02110806_3702.jpg,14
4328,Walker_Hound,n02089867_218.jpg,24
1305,Kelpie,n02105412_6873.jpg,7
2692,Basenji,n02110806_111.jpg,14
382,Norwich_Terrier,n02094258_848.jpg,2
1089,Rottweiler,n02106550_10555.jpg,6
4302,Walker_Hound,n02089867_822.jpg,24
4154,Lhasa,n02098413_5409.jpg,23
3565,Standard_Schnauzer,n02097209_2676.jpg,20
4450,Kerry_Blue_Terrier,n02093859_1127.jpg,25
4220,Lhasa,n02098413_7910.jpg,23
1984,Pekinese,n02086079_17015.jpg,11
3548,Japanese_Spaniel,n02085782_874.jpg,19
3364,Basset,n02088238_11505.jpg,18
966,Irish_Setter,n02100877_1803.jpg,5
4883,Saint_Bernard,n02109525_2737.jpg,27
2224,Irish_Wolfhound,n02090721_5197.jpg,12
1475,Schipperke,n02104365_9143.jpg,8
1275,Kelpie,n02105412_7026.jpg,7
2099,Irish_Wolfhound,n02090721_870.jpg,12
3893,miniature_pinscher,n02107312_3474.jpg,22
3791,Dhole,n02115913_1066.jpg,21
4375,Walker_Hound,n02089867_2382.jpg,24
3414,Japanese_Spaniel,n02085782_3966.jpg,19
1191,Rottweiler,n02106550_2301.jpg,6
4084,Lhasa,n02098413_7267.jpg,23
475,Norwich_Terrier,n02094258_61.jpg,2
3699,Standard_Schnauzer,n02097209_3997.jpg,20
1168,Rottweiler,n02106550_4063.jpg,6
1426,Schipperke,n02104365_7158.jpg,8
1009,Irish_Setter,n02100877_14.jpg,5
1300,Kelpie,n02105412_3329.jpg,7
2586,Basenji,n02110806_1902.jpg,14
3026,Komondor,n02105505_4248.jpg,16
4821,Saint_Bernard,n02109525_8096.jpg,27
349,Norwich_Terrier,n02094258_3488.jpg,2
4512,Kerry_Blue_Terrier,n02093859_87.jpg,25
2657,Basenji,n02110806_4196.jpg,14
812,Boston_Bull,n02096585_1572.jpg,4
652,Whippet,n02091134_4078.jpg,3
2011,Pekinese,n02086079_9847.jpg,11
3653,Standard_Schnauzer,n02097209_2382.jpg,20
2275,Irish_Wolfhound,n02090721_1742.jpg,12
5056,Afghan_Hound,n02088094_60.jpg,29
4832,Saint_Bernard,n02109525_4308.jpg,27
3162,Yorkshire_Terrier,n02094433_199.jpg,17
2534,Basenji,n02110806_3966.jpg,14
1532,Leonberg,n02111129_861.jpg,9
3983,miniature_pinscher,n02107312_1590.jpg,22
2684,Basenji,n02110806_3827.jpg,14
1802,Pomeranian,n02112018_12586.jpg,10
1917,Pomeranian,n02112018_1339.jpg,10
4588,Standard_Poodle,n02113799_3278.jpg,26
712,Whippet,n02091134_18590.jpg,3
2172,Irish_Wolfhound,n02090721_3302.jpg,12
2410,Blenheim_Spaniel,n02086646_2725.jpg,13
69,Australian_Terrier,n02096294_1150.jpg,0
4404,Kerry_Blue_Terrier,n02093859_2471.jpg,25
577,Whippet,n02091134_6159.jpg,3
305,Toy_Poodle,n02113624_223.jpg,1
3859,Dhole,n02115913_2253.jpg,21
1675,Leonberg,n02111129_4682.jpg,9
4677,Standard_Poodle,n02113799_2333.jpg,26
2920,Komondor,n02105505_4351.jpg,16
4843,Saint_Bernard,n02109525_5007.jpg,27
4211,Lhasa,n02098413_6162.jpg,23
984,Irish_Setter,n02100877_6030.jpg,5
1736,Pomeranian,n02112018_904.jpg,10
4435,Kerry_Blue_Terrier,n02093859_3125.jpg,25
3278,Basset,n02088238_658.jpg,18
2341,Blenheim_Spaniel,n02086646_2011.jpg,13
1056,Rottweiler,n02106550_1388.jpg,6
2560,Basenji,n02110806_3929.jpg,14
2284,Irish_Wolfhound,n02090721_311.jpg,12
4362,Walker_Hound,n02089867_655.jpg,24
1307,Kelpie,n02105412_3116.jpg,7
398,Norwich_Terrier,n02094258_2870.jpg,2
1156,Rottweiler,n02106550_12129.jpg,6
2102,Irish_Wolfhound,n02090721_3564.jpg,12
507,Norwich_Terrier,n02094258_2159.jpg,2
1032,Irish_Setter,n02100877_8900.jpg,5
635,Whippet,n02091134_10545.jpg,3
621,Whippet,n02091134_20065.jpg,3
2833,African_hunting_dog,n02116738_288.jpg,15
4104,Lhasa,n02098413_13638.jpg,23
3691,Standard_Schnauzer,n02097209_3202.jpg,20
39,Australian_Terrier,n02096294_1243.jpg,0
2206,Irish_Wolfhound,n02090721_984.jpg,12
2161,Irish_Wolfhound,n02090721_3129.jpg,12
106,Australian_Terrier,n02096294_7703.jpg,0
4411,Kerry_Blue_Terrier,n02093859_324.jpg,25
2809,African_hunting_dog,n02116738_8095.jpg,15
845,Boston_Bull,n02096585_10596.jpg,4
1041,Irish_Setter,n02100877_257.jpg,5
4914,Chihuahua,n02085620_6931.jpg,28
5096,Afghan_Hound,n02088094_3588.jpg,29
4176,Lhasa,n02098413_7144.jpg,23
137,Australian_Terrier,n02096294_5098.jpg,0
3906,miniature_pinscher,n02107312_6650.jpg,22
2878,Komondor,n02105505_43.jpg,16
4381,Walker_Hound,n02089867_2815.jpg,24
232,Toy_Poodle,n02113624_2816.jpg,1
690,Whippet,n02091134_10690.jpg,3
3584,Standard_Schnauzer,n02097209_4177.jpg,20
2948,Komondor,n02105505_3564.jpg,16
3642,Standard_Schnauzer,n02097209_1063.jpg,20
2232,Irish_Wolfhound,n02090721_1690.jpg,12
4787,Saint_Bernard,n02109525_9379.jpg,27
717,Whippet,n02091134_4784.jpg,3
1384,Schipperke,n02104365_8190.jpg,8
1016,Irish_Setter,n02100877_2793.jpg,5
439,Norwich_Terrier,n02094258_792.jpg,2
897,Boston_Bull,n02096585_2394.jpg,4
1250,Kelpie,n02105412_3084.jpg,7
4489,Kerry_Blue_Terrier,n02093859_1498.jpg,25
2608,Basenji,n02110806_1845.jpg,14
3113,Yorkshire_Terrier,n02094433_3392.jpg,17
1616,Leonberg,n02111129_1583.jpg,9
1359,Kelpie,n02105412_1366.jpg,7
358,Norwich_Terrier,n02094258_247.jpg,2
3381,Japanese_Spaniel,n02085782_3354.jpg,19
1485,Schipperke,n02104365_675.jpg,8
2280,Irish_Wolfhound,n02090721_847.jpg,12
2502,Basenji,n02110806_479.jpg,14
26,Australian_Terrier,n02096294_3899.jpg,0
4146,Lhasa,n02098413_611.jpg,23
3234,Basset,n02088238_490.jpg,18
3804,Dhole,n02115913_4055.jpg,21
1461,Schipperke,n02104365_7791.jpg,8
291,Toy_Poodle,n02113624_4589.jpg,1
3682,Standard_Schnauzer,n02097209_2087.jpg,20
721,Boston_Bull,n02096585_2560.jpg,4
702,Whippet,n02091134_9671.jpg,3
4507,Kerry_Blue_Terrier,n02093859_2787.jpg,25
753,Boston_Bull,n02096585_2821.jpg,4
2314,Blenheim_Spaniel,n02086646_3917.jpg,13
2281,Irish_Wolfhound,n02090721_3787.jpg,12
2090,Pekinese,n02086079_16979.jpg,11
4657,Standard_Poodle,n02113799_7649.jpg,26
4379,Walker_Hound,n02089867_1918.jpg,24
1155,Rottweiler,n02106550_4129.jpg,6
3990,miniature_pinscher,n02107312_7725.jpg,22
190,Australian_Terrier,n02096294_7175.jpg,0
3608,Standard_Schnauzer,n02097209_2990.jpg,20
733,Boston_Bull,n02096585_12716.jpg,4
2088,Pekinese,n02086079_9756.jpg,11
478,Norwich_Terrier,n02094258_3630.jpg,2
3047,Yorkshire_Terrier,n02094433_719.jpg,17
4280,Walker_Hound,n02089867_1368.jpg,24
932,Irish_Setter,n02100877_5184.jpg,5
1184,Rottweiler,n02106550_6599.jpg,6
1746,Pomeranian,n02112018_5807.jpg,10
4100,Lhasa,n02098413_8468.jpg,23
2175,Irish_Wolfhound,n02090721_2550.jpg,12
416,Norwich_Terrier,n02094258_1985.jpg,2
643,Whippet,n02091134_12581.jpg,3
4826,Saint_Bernard,n02109525_3506.jpg,27
2087,Pekinese,n02086079_10059.jpg,11
2918,Komondor,n02105505_4353.jpg,16
2248,Irish_Wolfhound,n02090721_1650.jpg,12
5079,Afghan_Hound,n02088094_732.jpg,29
1641,Leonberg,n02111129_1832.jpg,9
4738,Saint_Bernard,n02109525_499.jpg,27
2804,African_hunting_dog,n02116738_10895.jpg,15
762,Boston_Bull,n02096585_6567.jpg,4
5113,Afghan_Hound,n02088094_3920.jpg,29
4828,Saint_Bernard,n02109525_11747.jpg,27
4566,Standard_Poodle,n02113799_3055.jpg,26
1476,Schipperke,n02104365_6927.jpg,8
547,Whippet,n02091134_5047.jpg,3
2258,Irish_Wolfhound,n02090721_6762.jpg,12
2307,Irish_Wolfhound,n02090721_4207.jpg,12
3524,Japanese_Spaniel,n02085782_4579.jpg,19
804,Boston_Bull,n02096585_2513.jpg,4
343,Toy_Poodle,n02113624_876.jpg,1
4656,Standard_Poodle,n02113799_5704.jpg,26
810,Boston_Bull,n02096585_865.jpg,4
2219,Irish_Wolfhound,n02090721_4129.jpg,12
4079,Lhasa,n02098413_10590.jpg,23
299,Toy_Poodle,n02113624_7888.jpg,1
278,Toy_Poodle,n02113624_3808.jpg,1
2044,Pekinese,n02086079_6956.jpg,11
2399,Blenheim_Spaniel,n02086646_421.jpg,13
1390,Schipperke,n02104365_8156.jpg,8
4251,Walker_Hound,n02089867_1697.jpg,24
3128,Yorkshire_Terrier,n02094433_4181.jpg,17
972,Irish_Setter,n02100877_7519.jpg,5
3662,Standard_Schnauzer,n02097209_2432.jpg,20
38,Australian_Terrier,n02096294_2206.jpg,0
2958,Komondor,n02105505_3541.jpg,16
656,Whippet,n02091134_14297.jpg,3
4432,Kerry_Blue_Terrier,n02093859_1519.jpg,25
2476,Blenheim_Spaniel,n02086646_3688.jpg,13
1217,Kelpie,n02105412_3812.jpg,7
1572,Leonberg,n02111129_974.jpg,9
357,Norwich_Terrier,n02094258_2032.jpg,2
2552,Basenji,n02110806_3136.jpg,14
4638,Standard_Poodle,n02113799_4946.jpg,26
3702,Standard_Schnauzer,n02097209_2684.jpg,20
1864,Pomeranian,n02112018_7707.jpg,10
3817,Dhole,n02115913_3918.jpg,21
3094,Yorkshire_Terrier,n02094433_1030.jpg,17
683,Whippet,n02091134_11765.jpg,3
2111,Irish_Wolfhound,n02090721_4341.jpg,12
4559,Kerry_Blue_Terrier,n02093859_676.jpg,25
923,Irish_Setter,n02100877_3865.jpg,5
957,Irish_Setter,n02100877_3195.jpg,5
194,Australian_Terrier,n02096294_1470.jpg,0
4724,Saint_Bernard,n02109525_7085.jpg,27
2507,Basenji,n02110806_518.jpg,14
2676,Basenji,n02110806_3981.jpg,14
3333,Basset,n02088238_7233.jpg,18
2738,African_hunting_dog,n02116738_5683.jpg,15
165,Australian_Terrier,n02096294_4137.jpg,0
3096,Yorkshire_Terrier,n02094433_800.jpg,17
4932,Chihuahua,n02085620_10976.jpg,28
1698,Leonberg,n02111129_716.jpg,9
575,Whippet,n02091134_19308.jpg,3
4985,Chihuahua,n02085620_7738.jpg,28
245,Toy_Poodle,n02113624_2521.jpg,1
4871,Saint_Bernard,n02109525_10374.jpg,27
1152,Rottweiler,n02106550_148.jpg,6
4122,Lhasa,n02098413_387.jpg,23
2653,Basenji,n02110806_4550.jpg,14
1410,Schipperke,n02104365_6732.jpg,8
3528,Japanese_Spaniel,n02085782_3404.jpg,19
169,Australian_Terrier,n02096294_7567.jpg,0
4275,Walker_Hound,n02089867_3608.jpg,24
3265,Basset,n02088238_6035.jpg,18
2683,Basenji,n02110806_18.jpg,14
417,Norwich_Terrier,n02094258_237.jpg,2
4208,Lhasa,n02098413_6348.jpg,23
1823,Pomeranian,n02112018_6159.jpg,10
470,Norwich_Terrier,n02094258_2116.jpg,2
3310,Basset,n02088238_2674.jpg,18
4348,Walker_Hound,n02089867_814.jpg,24
856,Boston_Bull,n02096585_6653.jpg,4
1497,Schipperke,n02104365_7641.jpg,8
742,Boston_Bull,n02096585_4103.jpg,4
1766,Pomeranian,n02112018_651.jpg,10
1457,Schipperke,n02104365_5781.jpg,8
2527,Basenji,n02110806_4615.jpg,14
3501,Japanese_Spaniel,n02085782_3071.jpg,19
2612,Basenji,n02110806_4322.jpg,14
4709,Standard_Poodle,n02113799_6730.jpg,26
2499,Basenji,n02110806_3008.jpg,14
423,Norwich_Terrier,n02094258_1760.jpg,2
2306,Irish_Wolfhound,n02090721_465.jpg,12
4916,Chihuahua,n02085620_12334.jpg,28
2462,Blenheim_Spaniel,n02086646_1461.jpg,13
3031,Yorkshire_Terrier,n02094433_5155.jpg,17
2440,Blenheim_Spaniel,n02086646_3315.jpg,13
3260,Basset,n02088238_9529.jpg,18
218,Toy_Poodle,n02113624_4045.jpg,1
4942,Chihuahua,n02085620_9654.jpg,28
2884,Komondor,n02105505_3887.jpg,16
2927,Komondor,n02105505_4436.jpg,16
1658,Leonberg,n02111129_1788.jpg,9
1268,Kelpie,n02105412_146.jpg,7
2735,African_hunting_dog,n02116738_1815.jpg,15
719,Boston_Bull,n02096585_3681.jpg,4
650,Whippet,n02091134_738.jpg,3
2602,Basenji,n02110806_3513.jpg,14
917,Irish_Setter,n02100877_306.jpg,5
2133,Irish_Wolfhound,n02090721_2319.jpg,12
5019,Chihuahua,n02085620_9399.jpg,28
3798,Dhole,n02115913_3854.jpg,21
3060,Yorkshire_Terrier,n02094433_3640.jpg,17
4894,Chihuahua,n02085620_2204.jpg,28
2731,African_hunting_dog,n02116738_4367.jpg,15
3225,Basset,n02088238_3475.jpg,18
4293,Walker_Hound,n02089867_4001.jpg,24
4013,miniature_pinscher,n02107312_5431.jpg,22
4037,miniature_pinscher,n02107312_458.jpg,22
3142,Yorkshire_Terrier,n02094433_2483.jpg,17
1850,Pomeranian,n02112018_8351.jpg,10
310,Toy_Poodle,n02113624_2908.jpg,1
3054,Yorkshire_Terrier,n02094433_3526.jpg,17
253,Toy_Poodle,n02113624_1639.jpg,1
2092,Pekinese,n02086079_19690.jpg,11
1225,Kelpie,n02105412_6770.jpg,7
2814,African_hunting_dog,n02116738_8719.jpg,15
1501,Schipperke,n02104365_6199.jpg,8
3272,Basset,n02088238_13608.jpg,18
4791,Saint_Bernard,n02109525_13410.jpg,27
3701,Standard_Schnauzer,n02097209_1170.jpg,20
3182,Yorkshire_Terrier,n02094433_2973.jpg,17
4261,Walker_Hound,n02089867_880.jpg,24
4398,Kerry_Blue_Terrier,n02093859_1587.jpg,25
774,Boston_Bull,n02096585_1586.jpg,4
576,Whippet,n02091134_14002.jpg,3
3607,Standard_Schnauzer,n02097209_5027.jpg,20
4867,Saint_Bernard,n02109525_13906.jpg,27
731,Boston_Bull,n02096585_210.jpg,4
1647,Leonberg,n02111129_990.jpg,9
3978,miniature_pinscher,n02107312_5686.jpg,22
3191,Yorkshire_Terrier,n02094433_2596.jpg,17
4162,Lhasa,n02098413_20614.jpg,23
2291,Irish_Wolfhound,n02090721_1235.jpg,12
747,Boston_Bull,n02096585_2177.jpg,4
592,Whippet,n02091134_6699.jpg,3
2144,Irish_Wolfhound,n02090721_519.jpg,12
1109,Rottweiler,n02106550_4079.jpg,6
3419,Japanese_Spaniel,n02085782_1552.jpg,19
4539,Kerry_Blue_Terrier,n02093859_1571.jpg,25
4022,miniature_pinscher,n02107312_6924.jpg,22
3284,Basset,n02088238_6012.jpg,18
2278,Irish_Wolfhound,n02090721_6007.jpg,12
2549,Basenji,n02110806_2995.jpg,14
3250,Basset,n02088238_10110.jpg,18
3822,Dhole,n02115913_253.jpg,21
873,Boston_Bull,n02096585_342.jpg,4
2032,Pekinese,n02086079_1020.jpg,11
4943,Chihuahua,n02085620_14252.jpg,28
2197,Irish_Wolfhound,n02090721_5172.jpg,12
3159,Yorkshire_Terrier,n02094433_1765.jpg,17
4956,Chihuahua,n02085620_1152.jpg,28
2668,Basenji,n02110806_2903.jpg,14
5142,Afghan_Hound,n02088094_8682.jpg,29
4175,Lhasa,n02098413_4667.jpg,23
1812,Pomeranian,n02112018_5482.jpg,10
585,Whippet,n02091134_4099.jpg,3
2818,African_hunting_dog,n02116738_8669.jpg,15
907,Irish_Setter,n02100877_6462.jpg,5
4973,Chihuahua,n02085620_3975.jpg,28
3345,Basset,n02088238_9751.jpg,18
3650,Standard_Schnauzer,n02097209_213.jpg,20
965,Irish_Setter,n02100877_407.jpg,5
4289,Walker_Hound,n02089867_1790.jpg,24
1971,Pekinese,n02086079_6096.jpg,11
4029,miniature_pinscher,n02107312_843.jpg,22
620,Whippet,n02091134_14465.jpg,3
4229,Lhasa,n02098413_16076.jpg,23
1937,Pomeranian,n02112018_883.jpg,10
4384,Kerry_Blue_Terrier,n02093859_1397.jpg,25
3936,miniature_pinscher,n02107312_579.jpg,22
1387,Schipperke,n02104365_6755.jpg,8
3530,Japanese_Spaniel,n02085782_2939.jpg,19
1949,Pekinese,n02086079_869.jpg,11
3028,Komondor,n02105505_3679.jpg,16
2891,Komondor,n02105505_4069.jpg,16
3730,Dhole,n02115913_1631.jpg,21
4300,Walker_Hound,n02089867_2061.jpg,24
3280,Basset,n02088238_9446.jpg,18
3438,Japanese_Spaniel,n02085782_3481.jpg,19
263,Toy_Poodle,n02113624_8963.jpg,1
1702,Leonberg,n02111129_4135.jpg,9
3706,Standard_Schnauzer,n02097209_1760.jpg,20
3239,Basset,n02088238_10113.jpg,18
2674,Basenji,n02110806_4142.jpg,14
2042,Pekinese,n02086079_422.jpg,11
4789,Saint_Bernard,n02109525_16346.jpg,27
1882,Pomeranian,n02112018_1561.jpg,10
2883,Komondor,n02105505_935.jpg,16
3566,Standard_Schnauzer,n02097209_2845.jpg,20
34,Australian_Terrier,n02096294_671.jpg,0
4433,Kerry_Blue_Terrier,n02093859_2993.jpg,25
4471,Kerry_Blue_Terrier,n02093859_2835.jpg,25
1671,Leonberg,n02111129_2741.jpg,9
3616,Standard_Schnauzer,n02097209_3730.jpg,20
872,Boston_Bull,n02096585_2180.jpg,4
178,Australian_Terrier,n02096294_73.jpg,0
4622,Standard_Poodle,n02113799_1144.jpg,26
1058,Rottweiler,n02106550_12409.jpg,6
3455,Japanese_Spaniel,n02085782_2428.jpg,19
1125,Rottweiler,n02106550_2197.jpg,6
193,Australian_Terrier,n02096294_5602.jpg,0
734,Boston_Bull,n02096585_1532.jpg,4
2220,Irish_Wolfhound,n02090721_1131.jpg,12
89,Australian_Terrier,n02096294_5522.jpg,0
2636,Basenji,n02110806_1102.jpg,14
2955,Komondor,n02105505_3781.jpg,16
3377,Japanese_Spaniel,n02085782_313.jpg,19
2177,Irish_Wolfhound,n02090721_1920.jpg,12
3243,Basset,n02088238_10338.jpg,18
4579,Standard_Poodle,n02113799_1696.jpg,26
1263,Kelpie,n02105412_5381.jpg,7
82,Australian_Terrier,n02096294_3967.jpg,0
2652,Basenji,n02110806_2860.jpg,14
2370,Blenheim_Spaniel,n02086646_3989.jpg,13
3111,Yorkshire_Terrier,n02094433_4167.jpg,17
4710,Standard_Poodle,n02113799_1539.jpg,26
95,Australian_Terrier,n02096294_568.jpg,0
4697,Standard_Poodle,n02113799_204.jpg,26
2793,African_hunting_dog,n02116738_1849.jpg,15
3564,Standard_Schnauzer,n02097209_2502.jpg,20
2052,Pekinese,n02086079_13024.jpg,11
4149,Lhasa,n02098413_2402.jpg,23
870,Boston_Bull,n02096585_5943.jpg,4
886,Boston_Bull,n02096585_10734.jpg,4
2358,Blenheim_Spaniel,n02086646_1150.jpg,13
4039,miniature_pinscher,n02107312_854.jpg,22
4827,Saint_Bernard,n02109525_12272.jpg,27
3122,Yorkshire_Terrier,n02094433_3604.jpg,17
1154,Rottweiler,n02106550_4920.jpg,6
5028,Chihuahua,n02085620_14413.jpg,28
44,Australian_Terrier,n02096294_987.jpg,0
4763,Saint_Bernard,n02109525_6215.jpg,27
3211,Basset,n02088238_13709.jpg,18
880,Boston_Bull,n02096585_11776.jpg,4
2877,Komondor,n02105505_4325.jpg,16
2308,Irish_Wolfhound,n02090721_2702.jpg,12
3695,Standard_Schnauzer,n02097209_4183.jpg,20
1027,Irish_Setter,n02100877_131.jpg,5
